run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,jk_mode,lr,scorer_hidden,weight_decay,gat_edge_attr,gat_hidden_dim,num_layers,proj_dim,tau_quantile,curvature,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn,score,elapsed_sec,mean_density,empty_frac
glue|bert-base-uncased|cola_wide|C_at_base|t900|s1|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,1,mcc,curvature=4.0;gat_edge_attr=0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,256,4,128,0.1,4.0,0.7,1,gat,1,42.81,181.77,0.10001,0.0
glue|bert-base-uncased|cola_wide|base_at_C|t901|s1|confirm,glue,bert-base-uncased,cola_wide,cola,base_at_C,confirm,901,1,mcc,gat_edge_attr=0;gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,128,2,256,0.38,,,,,,47.89,117.19,0.37661,0.0
glue|bert-base-uncased|cola_wide|base_at_base|t902|s1|confirm,glue,bert-base-uncased,cola_wide,cola,base_at_base,confirm,902,1,mcc,gat_edge_attr=0;gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,256,4,128,0.1,,,,,,45.45,118.52,0.10047,0.0
glue|bert-base-uncased|cola_wide|C_at_C|t903|s1|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_C,confirm,903,1,mcc,curvature=4.0;gat_edge_attr=0;gat_hidden_dim=128;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,128,2,256,0.38,4.0,0.7,1,gat,1,46.72,129.46,0.37635,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s2|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,2,mcc,curvature=4.0;gat_edge_attr=0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,256,4,128,0.1,4.0,0.7,1,gat,1,43.64,141.39,0.09932,0.0
glue|bert-base-uncased|cola_wide|base_at_C|t901|s2|confirm,glue,bert-base-uncased,cola_wide,cola,base_at_C,confirm,901,2,mcc,gat_edge_attr=0;gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,128,2,256,0.38,,,,,,48.1,115.67,0.37574,0.0
glue|bert-base-uncased|cola_wide|base_at_base|t902|s2|confirm,glue,bert-base-uncased,cola_wide,cola,base_at_base,confirm,902,2,mcc,gat_edge_attr=0;gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,256,4,128,0.1,,,,,,44.82,117.43,0.09988,0.0
glue|bert-base-uncased|cola_wide|C_at_C|t903|s2|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_C,confirm,903,2,mcc,curvature=4.0;gat_edge_attr=0;gat_hidden_dim=128;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,128,2,256,0.38,4.0,0.7,1,gat,1,47.2,130.62,0.37548,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s3|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,3,mcc,curvature=4.0;gat_edge_attr=0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,256,4,128,0.1,4.0,0.7,1,gat,1,48.89,142.51,0.10025,0.0
glue|bert-base-uncased|cola_wide|base_at_C|t901|s3|confirm,glue,bert-base-uncased,cola_wide,cola,base_at_C,confirm,901,3,mcc,gat_edge_attr=0;gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,128,2,256,0.38,,,,,,42.26,116.31,0.37592,0.0
glue|bert-base-uncased|cola_wide|base_at_base|t902|s3|confirm,glue,bert-base-uncased,cola_wide,cola,base_at_base,confirm,902,3,mcc,gat_edge_attr=0;gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,256,4,128,0.1,,,,,,44.94,117.74,0.10009,0.0
glue|bert-base-uncased|cola_wide|C_at_C|t903|s3|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_C,confirm,903,3,mcc,curvature=4.0;gat_edge_attr=0;gat_hidden_dim=128;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,128,2,256,0.38,4.0,0.7,1,gat,1,46.2,130.57,0.37575,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s4|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,4,mcc,curvature=4.0;gat_edge_attr=0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,256,4,128,0.1,4.0,0.7,1,gat,1,45.21,144.09,0.09942,0.0
glue|bert-base-uncased|cola_wide|base_at_C|t901|s4|confirm,glue,bert-base-uncased,cola_wide,cola,base_at_C,confirm,901,4,mcc,gat_edge_attr=0;gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,128,2,256,0.38,,,,,,45.55,115.26,0.37476,0.0
glue|bert-base-uncased|cola_wide|base_at_base|t902|s4|confirm,glue,bert-base-uncased,cola_wide,cola,base_at_base,confirm,902,4,mcc,gat_edge_attr=0;gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,256,4,128,0.1,,,,,,44.04,118.37,0.10037,0.0
glue|bert-base-uncased|cola_wide|C_at_C|t903|s4|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_C,confirm,903,4,mcc,curvature=4.0;gat_edge_attr=0;gat_hidden_dim=128;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,cosine,max,0.001,128,5e-05,0,128,2,256,0.38,4.0,0.7,1,gat,1,47.32,130.09,0.3763,0.0
